samb01,samb02,samb03,samb04,samb05,samb06,samb07,samb08,samb09,samb10,samb11,samb12,samb13,samb14,samb15,samb16,samb17,samb18,samb19,gender,age,id,semester,ethnic,SAmb_tot
0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,39.12,2060,9,1,4
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,43.22,2061,9,2,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,18.59,2062,9,3,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.09,2063,9,1,0
0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,48.5,2064,9,1,7
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,18.74,2066,9,1,2
1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,19.46,2067,9,1,7
0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,NA,2069,9,NA,5
0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,18.38,2070,9,1,5
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,18.26,2071,9,1,4
0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,18.79,2072,9,1,8
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,18.14,2073,9,NA,2
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,19.45,2074,9,1,3
0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,19.48,2075,9,1,10
1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,18.9,2076,9,1,9
0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,18,2077,9,1,4
1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,18.21,2078,9,3,13
0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,18.07,2079,9,1,6
0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,18.21,2080,9,1,5
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.86,2081,9,1,2
